date,home_team,away_team,home_score,away_score,tournament,country,neutral,resultado,home_code,away_code
1990-06-08,Cameroon,Argentina,1,0,World Cup,Italy,True,1,10,2
1990-06-09,Colombia,United Arab Emirates,2,0,World Cup,Italy,True,1,14,68
1990-06-09,Italy,Austria,1,0,World Cup,Italy,False,1,31,4
1990-06-09,Romania,Soviet Union,2,0,World Cup,Italy,True,1,48,59
1990-06-10,Czechoslovakia,United States,5,1,World Cup,Italy,True,1,18,69
1990-06-10,Brazil,Sweden,2,1,World Cup,Italy,True,1,8,61
1990-06-10,West Germany,Yugoslavia,4,1,World Cup,Italy,True,1,72,73
1990-06-11,Costa Rica,Scotland,1,0,World Cup,Italy,True,1,15,51
1990-06-11,England,Ireland,1,1,World Cup,Italy,True,0,22,30
1990-06-12,Belgium,South Korea,2,0,World Cup,Italy,True,1,5,58
1990-06-12,Egypt,Netherlands,1,1,World Cup,Italy,True,0,21,37
1990-06-13,Spain,Uruguay,0,0,World Cup,Italy,True,0,60,70
1990-06-13,Argentina,Soviet Union,2,0,World Cup,Italy,True,1,2,59
1990-06-14,Cameroon,Romania,2,1,World Cup,Italy,True,1,10,48
1990-06-14,Italy,United States,1,0,World Cup,Italy,False,1,31,69
1990-06-14,Yugoslavia,Colombia,1,0,World Cup,Italy,True,1,73,14
1990-06-15,West Germany,United Arab Emirates,5,1,World Cup,Italy,True,1,72,68
1990-06-15,Czechoslovakia,Austria,1,0,World Cup,Italy,True,1,18,4
1990-06-16,Brazil,Costa Rica,1,0,World Cup,Italy,True,1,8,15
1990-06-16,Scotland,Sweden,2,1,World Cup,Italy,True,1,51,61
1990-06-16,England,Netherlands,0,0,World Cup,Italy,True,0,22,37
1990-06-17,Spain,South Korea,3,1,World Cup,Italy,True,1,60,58
1990-06-17,Egypt,Ireland,0,0,World Cup,Italy,True,0,21,30
1990-06-17,Belgium,Uruguay,3,1,World Cup,Italy,True,1,5,70
1990-06-18,Soviet Union,Cameroon,4,0,World Cup,Italy,True,1,59,10
1990-06-18,Argentina,Romania,1,1,World Cup,Italy,True,0,2,48
1990-06-19,Yugoslavia,United Arab Emirates,4,1,World Cup,Italy,True,1,73,68
1990-06-19,Austria,United States,2,1,World Cup,Italy,True,1,4,69
1990-06-19,Colombia,West Germany,1,1,World Cup,Italy,True,0,14,72
1990-06-19,Italy,Czechoslovakia,2,0,World Cup,Italy,False,1,31,18
1990-06-20,Costa Rica,Sweden,2,1,World Cup,Italy,True,1,15,61
1990-06-20,Brazil,Scotland,1,0,World Cup,Italy,True,1,8,51
1990-06-21,Uruguay,South Korea,1,0,World Cup,Italy,True,1,70,58
1990-06-21,England,Egypt,1,0,World Cup,Italy,True,1,22,21
1990-06-21,Spain,Belgium,2,1,World Cup,Italy,True,1,60,5
1990-06-21,Ireland,Netherlands,1,1,World Cup,Italy,True,0,30,37
1990-06-23,Cameroon,Colombia,2,1,World Cup,Italy,True,1,10,14
1990-06-23,Czechoslovakia,Costa Rica,4,1,World Cup,Italy,True,1,18,15
1990-06-24,Argentina,Brazil,1,0,World Cup,Italy,True,1,2,8
1990-06-24,West Germany,Netherlands,2,1,World Cup,Italy,True,1,72,37
1990-06-25,Italy,Uruguay,2,0,World Cup,Italy,False,1,31,70
1990-06-25,Ireland,Romania,0,0,World Cup,Italy,True,0,30,48
1990-06-26,England,Belgium,1,0,World Cup,Italy,True,1,22,5
1990-06-26,Yugoslavia,Spain,2,1,World Cup,Italy,True,1,73,60
1990-06-30,Argentina,Yugoslavia,0,0,World Cup,Italy,True,0,2,73
1990-06-30,Italy,Ireland,1,0,World Cup,Italy,False,1,31,30
1990-07-01,England,Cameroon,3,2,World Cup,Italy,True,1,22,10
1990-07-01,West Germany,Czechoslovakia,1,0,World Cup,Italy,True,1,72,18
1990-07-03,Italy,Argentina,1,1,World Cup,Italy,False,0,31,2
1990-07-04,England,West Germany,1,1,World Cup,Italy,True,0,22,72
1990-07-07,Italy,England,2,1,World Cup,Italy,False,1,31,22
1990-07-08,West Germany,Argentina,1,0,World Cup,Italy,True,1,72,2
1994-06-17,South Korea,Spain,2,2,World Cup,United States,True,0,58,60
1994-06-17,Germany,Bolivia,1,0,World Cup,United States,True,1,24,6
1994-06-18,United States,Switzerland,1,1,World Cup,United States,False,0,69,62
1994-06-18,Romania,Colombia,3,1,World Cup,United States,True,1,48,14
1994-06-18,Ireland,Italy,1,0,World Cup,United States,True,1,30,31
1994-06-19,Belgium,Morocco,1,0,World Cup,United States,True,1,5,36
1994-06-19,Cameroon,Sweden,2,2,World Cup,United States,True,0,10,61
1994-06-19,Norway,Mexico,1,0,World Cup,United States,True,1,41,35
1994-06-20,Netherlands,Saudi Arabia,2,1,World Cup,United States,True,1,37,50
1994-06-20,Brazil,Russia,2,0,World Cup,United States,True,1,8,49
1994-06-21,Nigeria,Bulgaria,3,0,World Cup,United States,True,1,39,9
1994-06-21,Argentina,Greece,4,0,World Cup,United States,True,1,2,26
1994-06-21,Germany,Spain,1,1,World Cup,United States,True,0,24,60
1994-06-22,United States,Colombia,2,1,World Cup,United States,False,1,69,14
1994-06-22,Switzerland,Romania,4,1,World Cup,United States,True,1,62,48
1994-06-23,Bolivia,South Korea,0,0,World Cup,United States,True,0,6,58
1994-06-23,Italy,Norway,1,0,World Cup,United States,True,1,31,41
1994-06-24,Brazil,Cameroon,3,0,World Cup,United States,True,1,8,10
1994-06-24,Mexico,Ireland,2,1,World Cup,United States,True,1,35,30
1994-06-24,Sweden,Russia,3,1,World Cup,United States,True,1,61,49
1994-06-25,Saudi Arabia,Morocco,2,1,World Cup,United States,True,1,50,36
1994-06-25,Argentina,Nigeria,2,1,World Cup,United States,True,1,2,39
1994-06-25,Belgium,Netherlands,1,0,World Cup,United States,True,1,5,37
1994-06-26,United States,Romania,0,1,World Cup,United States,False,2,69,48
1994-06-26,Colombia,Switzerland,2,0,World Cup,United States,True,1,14,62
1994-06-26,Bulgaria,Greece,4,0,World Cup,United States,True,1,9,26
1994-06-27,Germany,South Korea,3,2,World Cup,United States,True,1,24,58
1994-06-27,Spain,Bolivia,3,1,World Cup,United States,True,1,60,6
1994-06-28,Russia,Cameroon,6,1,World Cup,United States,True,1,49,10
1994-06-28,Italy,Mexico,1,1,World Cup,United States,True,0,31,35
1994-06-28,Brazil,Sweden,1,1,World Cup,United States,True,0,8,61
1994-06-28,Ireland,Norway,0,0,World Cup,United States,True,0,30,41
1994-06-29,Saudi Arabia,Belgium,1,0,World Cup,United States,True,1,50,5
1994-06-29,Netherlands,Morocco,2,1,World Cup,United States,True,1,37,36
1994-06-30,Nigeria,Greece,2,0,World Cup,United States,True,1,39,26
1994-06-30,Bulgaria,Argentina,2,0,World Cup,United States,True,1,9,2
1994-07-02,Germany,Belgium,3,2,World Cup,United States,True,1,24,5
1994-07-02,Spain,Switzerland,3,0,World Cup,United States,True,1,60,62
1994-07-03,Sweden,Saudi Arabia,3,1,World Cup,United States,True,1,61,50
1994-07-03,Romania,Argentina,3,2,World Cup,United States,True,1,48,2
1994-07-04,United States,Brazil,0,1,World Cup,United States,False,2,69,8
1994-07-04,Netherlands,Ireland,2,0,World Cup,United States,True,1,37,30
1994-07-05,Italy,Nigeria,2,1,World Cup,United States,True,1,31,39
1994-07-05,Bulgaria,Mexico,1,1,World Cup,United States,True,0,9,35
1994-07-09,Brazil,Netherlands,3,2,World Cup,United States,True,1,8,37
1994-07-09,Italy,Spain,2,1,World Cup,United States,True,1,31,60
1994-07-10,Bulgaria,Germany,2,1,World Cup,United States,True,1,9,24
1994-07-10,Romania,Sweden,2,2,World Cup,United States,True,0,48,61
1994-07-13,Brazil,Sweden,1,0,World Cup,United States,True,1,8,61
1994-07-13,Italy,Bulgaria,2,1,World Cup,United States,True,1,31,9
1994-07-16,Sweden,Bulgaria,4,0,World Cup,United States,True,1,61,9
1994-07-17,Brazil,Italy,0,0,World Cup,United States,True,0,8,31
1998-06-10,Morocco,Norway,2,2,World Cup,France,True,0,36,41
1998-06-10,Brazil,Scotland,2,1,World Cup,France,True,1,8,51
1998-06-11,Austria,Cameroon,1,1,World Cup,France,True,0,4,10
1998-06-11,Chile,Italy,2,2,World Cup,France,True,0,12,31
1998-06-12,Denmark,Saudi Arabia,1,0,World Cup,France,True,1,19,50
1998-06-12,France,South Africa,3,0,World Cup,France,False,1,23,57
1998-06-12,Bulgaria,Paraguay,0,0,World Cup,France,True,0,9,43
1998-06-13,Mexico,South Korea,3,1,World Cup,France,True,1,35,58
1998-06-13,Nigeria,Spain,3,2,World Cup,France,True,1,39,60
1998-06-13,Belgium,Netherlands,0,0,World Cup,France,True,0,5,37
1998-06-14,Argentina,Japan,1,0,World Cup,France,True,1,2,34
1998-06-14,Yugoslavia,Iran,1,0,World Cup,France,True,1,73,29
1998-06-14,Croatia,Jamaica,3,1,World Cup,France,True,1,16,33
1998-06-15,England,Tunisia,2,0,World Cup,France,True,1,22,65
1998-06-15,Germany,United States,2,0,World Cup,France,True,1,24,69
1998-06-15,Romania,Colombia,1,0,World Cup,France,True,1,48,14
1998-06-16,Brazil,Morocco,3,0,World Cup,France,True,1,8,36
1998-06-16,Norway,Scotland,1,1,World Cup,France,True,0,41,51
1998-06-17,Italy,Cameroon,3,0,World Cup,France,True,1,31,10
1998-06-17,Austria,Chile,1,1,World Cup,France,True,0,4,12
1998-06-18,France,Saudi Arabia,4,0,World Cup,France,False,1,23,50
1998-06-18,Denmark,South Africa,1,1,World Cup,France,True,0,19,57
1998-06-19,Nigeria,Bulgaria,1,0,World Cup,France,True,1,39,9
1998-06-19,Paraguay,Spain,0,0,World Cup,France,True,0,43,60
1998-06-20,Croatia,Japan,1,0,World Cup,France,True,1,16,34
1998-06-20,Netherlands,South Korea,5,0,World Cup,France,True,1,37,58
1998-06-20,Belgium,Mexico,2,2,World Cup,France,True,0,5,35
1998-06-21,Iran,United States,2,1,World Cup,France,True,1,29,69
1998-06-21,Argentina,Jamaica,5,0,World Cup,France,True,1,2,33
1998-06-21,Germany,Yugoslavia,2,2,World Cup,France,True,0,24,73
1998-06-22,Colombia,Tunisia,1,0,World Cup,France,True,1,14,65
1998-06-22,Romania,England,2,1,World Cup,France,True,1,48,22
1998-06-23,Morocco,Scotland,3,0,World Cup,France,True,1,36,51
1998-06-23,Cameroon,Chile,1,1,World Cup,France,True,0,10,12
1998-06-23,Norway,Brazil,2,1,World Cup,France,True,1,41,8
1998-06-23,Italy,Austria,2,1,World Cup,France,True,1,31,4
1998-06-24,Saudi Arabia,South Africa,2,2,World Cup,France,True,0,50,57
1998-06-24,Paraguay,Nigeria,3,1,World Cup,France,True,1,43,39
1998-06-24,France,Denmark,2,1,World Cup,France,False,1,23,19
1998-06-24,Spain,Bulgaria,6,1,World Cup,France,True,1,60,9
1998-06-25,Germany,Iran,2,0,World Cup,France,True,1,24,29
1998-06-25,Belgium,South Korea,1,1,World Cup,France,True,0,5,58
1998-06-25,Yugoslavia,United States,1,0,World Cup,France,True,1,73,69
1998-06-25,Mexico,Netherlands,2,2,World Cup,France,True,0,35,37
1998-06-26,Jamaica,Japan,2,1,World Cup,France,True,1,33,34
1998-06-26,Romania,Tunisia,1,1,World Cup,France,True,0,48,65
1998-06-26,Argentina,Croatia,1,0,World Cup,France,True,1,2,16
1998-06-26,England,Colombia,2,0,World Cup,France,True,1,22,14
1998-06-27,Brazil,Chile,4,1,World Cup,France,True,1,8,12
1998-06-27,Italy,Norway,1,0,World Cup,France,True,1,31,41
1998-06-28,Denmark,Nigeria,4,1,World Cup,France,True,1,19,39
1998-06-28,France,Paraguay,1,0,World Cup,France,False,1,23,43
1998-06-29,Germany,Mexico,2,1,World Cup,France,True,1,24,35
1998-06-29,Netherlands,Yugoslavia,2,1,World Cup,France,True,1,37,73
1998-06-30,Argentina,England,2,2,World Cup,France,True,0,2,22
1998-06-30,Croatia,Romania,1,0,World Cup,France,True,1,16,48
1998-07-03,Brazil,Denmark,3,2,World Cup,France,True,1,8,19
1998-07-03,France,Italy,0,0,World Cup,France,False,0,23,31
1998-07-04,Netherlands,Argentina,2,1,World Cup,France,True,1,37,2
1998-07-04,Croatia,Germany,3,0,World Cup,France,True,1,16,24
1998-07-07,Brazil,Netherlands,1,1,World Cup,France,True,0,8,37
1998-07-08,France,Croatia,2,1,World Cup,France,False,1,23,16
1998-07-11,Croatia,Netherlands,2,1,World Cup,France,True,1,16,37
1998-07-12,France,Brazil,3,0,World Cup,France,False,1,23,8
2002-05-31,Senegal,France,1,0,World Cup,South Korea,True,1,52,23
2002-06-01,Germany,Saudi Arabia,8,0,World Cup,Japan,True,1,24,50
2002-06-01,Cameroon,Ireland,1,1,World Cup,Japan,True,0,10,30
2002-06-01,Denmark,Uruguay,2,1,World Cup,South Korea,True,1,19,70
2002-06-02,Paraguay,South Africa,2,2,World Cup,South Korea,True,0,43,57
2002-06-02,Argentina,Nigeria,1,0,World Cup,Japan,True,1,2,39
2002-06-02,England,Sweden,1,1,World Cup,Japan,True,0,22,61
2002-06-02,Spain,Slovenia,3,1,World Cup,South Korea,True,1,60,56
2002-06-03,Mexico,Croatia,1,0,World Cup,Japan,True,1,35,16
2002-06-03,Brazil,Turkey,2,1,World Cup,South Korea,True,1,8,66
2002-06-03,Italy,Ecuador,2,0,World Cup,Japan,True,1,31,20
2002-06-04,Japan,Belgium,2,2,World Cup,Japan,False,0,34,5
2002-06-04,Costa Rica,China,2,0,World Cup,South Korea,True,1,15,13
2002-06-04,South Korea,Poland,2,0,World Cup,South Korea,False,1,58,45
2002-06-05,Russia,Tunisia,2,0,World Cup,Japan,True,1,49,65
2002-06-05,United States,Portugal,3,2,World Cup,South Korea,True,1,69,46
2002-06-05,Germany,Ireland,1,1,World Cup,Japan,True,0,24,30
2002-06-06,Cameroon,Saudi Arabia,1,0,World Cup,Japan,True,1,10,50
2002-06-06,Denmark,Senegal,1,1,World Cup,South Korea,True,0,19,52
2002-06-06,France,Uruguay,0,0,World Cup,South Korea,True,0,23,70
2002-06-07,Sweden,Nigeria,2,1,World Cup,Japan,True,1,61,39
2002-06-07,England,Argentina,1,0,World Cup,Japan,True,1,22,2
2002-06-07,Spain,Paraguay,3,1,World Cup,South Korea,True,1,60,43
2002-06-08,Brazil,China,4,0,World Cup,South Korea,True,1,8,13
2002-06-08,South Africa,Slovenia,1,0,World Cup,South Korea,True,1,57,56
2002-06-08,Croatia,Italy,2,1,World Cup,Japan,True,1,16,31
2002-06-09,Japan,Russia,1,0,World Cup,Japan,False,1,34,49
2002-06-09,Costa Rica,Turkey,1,1,World Cup,South Korea,True,0,15,66
2002-06-09,Mexico,Ecuador,2,1,World Cup,Japan,True,1,35,20
2002-06-10,South Korea,United States,1,1,World Cup,South Korea,False,0,58,69
2002-06-10,Belgium,Tunisia,1,1,World Cup,Japan,True,0,5,65
2002-06-10,Portugal,Poland,4,0,World Cup,South Korea,True,1,46,45
2002-06-11,Ireland,Saudi Arabia,3,0,World Cup,Japan,True,1,30,50
2002-06-11,Germany,Cameroon,2,0,World Cup,Japan,True,1,24,10
2002-06-11,Senegal,Uruguay,3,3,World Cup,South Korea,True,0,52,70
2002-06-11,Denmark,France,2,0,World Cup,South Korea,True,1,19,23
2002-06-12,Spain,South Africa,3,2,World Cup,South Korea,True,1,60,57
2002-06-12,England,Nigeria,0,0,World Cup,Japan,True,0,22,39
2002-06-12,Argentina,Sweden,1,1,World Cup,Japan,True,0,2,61
2002-06-12,Paraguay,Slovenia,3,1,World Cup,South Korea,True,1,43,56
2002-06-13,Turkey,China,3,0,World Cup,South Korea,True,1,66,13
2002-06-13,Brazil,Costa Rica,5,2,World Cup,South Korea,True,1,8,15
2002-06-13,Italy,Mexico,1,1,World Cup,Japan,True,0,31,35
2002-06-13,Ecuador,Croatia,1,0,World Cup,Japan,True,1,20,16
2002-06-14,Japan,Tunisia,2,0,World Cup,Japan,False,1,34,65
2002-06-14,South Korea,Portugal,1,0,World Cup,South Korea,False,1,58,46
2002-06-14,Poland,United States,3,1,World Cup,South Korea,True,1,45,69
2002-06-14,Belgium,Russia,3,2,World Cup,Japan,True,1,5,49
2002-06-15,Germany,Paraguay,1,0,World Cup,South Korea,True,1,24,43
2002-06-15,England,Denmark,3,0,World Cup,Japan,True,1,22,19
2002-06-16,Senegal,Sweden,2,1,World Cup,Japan,True,1,52,61
2002-06-16,Ireland,Spain,1,1,World Cup,South Korea,True,0,30,60
2002-06-17,United States,Mexico,2,0,World Cup,South Korea,True,1,69,35
2002-06-17,Brazil,Belgium,2,0,World Cup,Japan,True,1,8,5
2002-06-18,Japan,Turkey,0,1,World Cup,Japan,False,2,34,66
2002-06-18,South Korea,Italy,2,1,World Cup,South Korea,False,1,58,31
2002-06-21,Germany,United States,1,0,World Cup,South Korea,True,1,24,69
2002-06-21,Brazil,England,2,1,World Cup,Japan,True,1,8,22
2002-06-22,South Korea,Spain,0,0,World Cup,South Korea,False,0,58,60
2002-06-22,Turkey,Senegal,1,0,World Cup,Japan,True,1,66,52
2002-06-25,South Korea,Germany,0,1,World Cup,South Korea,False,2,58,24
2002-06-26,Brazil,Turkey,1,0,World Cup,Japan,True,1,8,66
2002-06-29,South Korea,Turkey,2,3,World Cup,South Korea,False,2,58,66
2002-06-30,Brazil,Germany,2,0,World Cup,Japan,True,1,8,24
2006-06-09,Germany,Costa Rica,4,2,World Cup,Germany,False,1,24,15
2006-06-09,Ecuador,Poland,2,0,World Cup,Germany,True,1,20,45
2006-06-10,Argentina,Ivory Coast,2,1,World Cup,Germany,True,1,2,32
2006-06-10,Sweden,Trinidad and Tobago,0,0,World Cup,Germany,True,0,61,64
2006-06-10,England,Paraguay,1,0,World Cup,Germany,True,1,22,43
2006-06-11,Mexico,Iran,3,1,World Cup,Germany,True,1,35,29
2006-06-11,Portugal,Angola,1,0,World Cup,Germany,True,1,46,1
2006-06-11,Netherlands,Serbia and Montenegro,1,0,World Cup,Germany,True,1,37,54
2006-06-12,Australia,Japan,3,1,World Cup,Germany,True,1,3,34
2006-06-12,Italy,Ghana,2,0,World Cup,Germany,True,1,31,25
2006-06-12,Czechia,United States,3,0,World Cup,Germany,True,1,17,69
2006-06-13,South Korea,Togo,2,1,World Cup,Germany,True,1,58,63
2006-06-13,Brazil,Croatia,1,0,World Cup,Germany,True,1,8,16
2006-06-13,France,Switzerland,0,0,World Cup,Germany,True,0,23,62
2006-06-14,Saudi Arabia,Tunisia,2,2,World Cup,Germany,True,0,50,65
2006-06-14,Germany,Poland,1,0,World Cup,Germany,False,1,24,45
2006-06-14,Spain,Ukraine,4,0,World Cup,Germany,True,1,60,67
2006-06-15,Ecuador,Costa Rica,3,0,World Cup,Germany,True,1,20,15
2006-06-15,England,Trinidad and Tobago,2,0,World Cup,Germany,True,1,22,64
2006-06-15,Sweden,Paraguay,1,0,World Cup,Germany,True,1,61,43
2006-06-16,Netherlands,Ivory Coast,2,1,World Cup,Germany,True,1,37,32
2006-06-16,Angola,Mexico,0,0,World Cup,Germany,True,0,1,35
2006-06-16,Argentina,Serbia and Montenegro,6,0,World Cup,Germany,True,1,2,54
2006-06-17,Portugal,Iran,2,0,World Cup,Germany,True,1,46,29
2006-06-17,Ghana,Czechia,2,0,World Cup,Germany,True,1,25,17
2006-06-17,Italy,United States,1,1,World Cup,Germany,True,0,31,69
2006-06-18,Croatia,Japan,0,0,World Cup,Germany,True,0,16,34
2006-06-18,Brazil,Australia,2,0,World Cup,Germany,True,1,8,3
2006-06-18,France,South Korea,1,1,World Cup,Germany,True,0,23,58
2006-06-19,Ukraine,Saudi Arabia,4,0,World Cup,Germany,True,1,67,50
2006-06-19,Switzerland,Togo,2,0,World Cup,Germany,True,1,62,63
2006-06-19,Spain,Tunisia,3,1,World Cup,Germany,True,1,60,65
2006-06-20,Poland,Costa Rica,2,1,World Cup,Germany,True,1,45,15
2006-06-20,Paraguay,Trinidad and Tobago,2,0,World Cup,Germany,True,1,43,64
2006-06-20,Germany,Ecuador,3,0,World Cup,Germany,False,1,24,20
2006-06-20,England,Sweden,2,2,World Cup,Germany,True,0,22,61
2006-06-21,Angola,Iran,1,1,World Cup,Germany,True,0,1,29
2006-06-21,Ivory Coast,Serbia and Montenegro,3,2,World Cup,Germany,True,1,32,54
2006-06-21,Portugal,Mexico,2,1,World Cup,Germany,True,1,46,35
2006-06-21,Argentina,Netherlands,0,0,World Cup,Germany,True,0,2,37
